"08_17_1"|5|0.000347222222222222
"08_17_2"|3|0.000208333333333333
"08_17_3"|5|0.000347222222222222
"08_17_4"|6|0.000416666666666667
"08_17_5"|9|0.000625
"08_17_6"|13|0.000902777777777778
"08_18_1"|0|0
"08_18_2"|1|6.94444444444444e-05
"08_18_3"|5|0.000347222222222222
"08_18_4"|7|0.000486111111111111
"08_18_5"|5|0.000347222222222222
"08_18_6"|6|0.000416666666666667
"08_19_1"|0|0
"08_19_2"|0|0
"08_19_3"|6|0.000416666666666667
"08_19_4"|5|0.000347222222222222
"08_19_5"|6|0.000416666666666667
"08_19_6"|7|0.000486111111111111
"08_20_1"|6|0.000416666666666667
"08_20_2"|2|0.000138888888888889
"08_20_3"|8|0.000555555555555556
"08_20_4"|8|0.000555555555555556
"08_20_5"|8|0.000555555555555556
"08_20_6"|5|0.000347222222222222
"08_21_1"|3|0.000208333333333333
"08_21_2"|3|0.000208333333333333
"08_21_3"|5|0.000347222222222222
"08_21_4"|4|0.000277777777777778
"08_21_5"|8|0.000555555555555556
"08_21_6"|7|0.000486111111111111
"08_22_1"|19|0.00131944444444444
"08_22_2"|3|0.000208333333333333
"08_22_3"|7|0.000486111111111111
"08_22_4"|7|0.000486111111111111
"08_22_5"|10|0.000694444444444444
"08_22_6"|15|0.00104166666666667
"08_23_1"|3|0.000208333333333333
"08_23_2"|4|0.000277777777777778
"08_23_3"|6|0.000416666666666667
"08_23_4"|10|0.000694444444444444
"08_23_5"|23|0.00159722222222222
"08_23_6"|22|0.00152777777777778
"08_24_1"|15|0.00104166666666667
"08_24_2"|10|0.000694444444444444
"08_24_3"|53|0.00368055555555556
"08_24_4"|102|0.00708333333333333
"08_24_5"|140|0.00972222222222222
"08_24_6"|124|0.00861111111111111
"08_25_1"|34|0.00236111111111111
"08_25_2"|59|0.00409722222222222
"08_25_3"|205|0.0142361111111111
"08_25_4"|265|0.0184027777777778
"08_25_5"|384|0.0266666666666667
"08_25_6"|379|0.0263194444444444
"08_26_1"|82|0.00569444444444444
"08_26_2"|102|0.00708333333333333
"08_26_3"|278|0.0193055555555556
"08_26_4"|260|0.0180555555555556
"08_26_5"|206|0.0143055555555556
"08_26_6"|176|0.0122222222222222
"08_27_1"|86|0.00597222222222222
"08_27_2"|123|0.00854166666666667
"08_27_3"|556|0.0386111111111111
"08_27_4"|976|0.0677777777777778
"08_27_5"|1041|0.0722916666666667
"08_27_6"|774|0.05375
"08_28_1"|334|0.0231944444444444
"08_28_2"|377|0.0261805555555556
"08_28_3"|1072|0.0744444444444444
"08_28_4"|1345|0.0934027777777778
"08_28_5"|1109|0.0770138888888889
"08_28_6"|966|0.0670833333333333
"08_29_1"|328|0.0227777777777778
"08_29_2"|415|0.0288194444444444
"08_29_3"|1168|0.0811111111111111
"08_29_4"|1271|0.0882638888888889
"08_29_5"|1169|0.0811805555555556
